,Abstract,Class
0,"A large number of wireless sensor nodes in a certain area results in high contention. Inevitably, the transmissions of any possible critical data packets may fail due to collisions. In this letter, we introduce an aspect of human intelligence in wireless sensor networks, influenced by cooperative networking, which enhances the timely delivery of critical data. Mutual aid among sensors is an emergency out-of-the-box medium access control function for IEEE 802.15.4-2020. Specifically, the network coordinator detects critical data packets and sets an emergency flag to its next beacon to inform the nodes that they may overhear data packets. When a node overhears a critical data packet from a neighboring node, it switches to sleep mode and stays idle until the end of the superframe. Thus, interference is mitigated locally and temporarily. Simulation results, using the CC2650 radio parameters in OMNeT++, show that interference is reduced significantly, in favor of the timely delivery of critical data packets.",4
1,"Organizing nodes into efficient clusters in wireless sensor networks facilitates data aggregation and command dissemination, but clustering is a complex and costly process, since it has to be carried out in a distributed and periodic manner. In this letter, we propose a simple clustering strategy employing an adjacency matrix, which encodes nodes' neighborhood and connectivity in a network. Our approach enables the assignment of cluster heads for multiple rounds in a single step, thereby limiting the cost of cluster head election and child node association.",4
2,"The rapid development of wireless power transfer technology brings forth innovative vehicle energy solutions and breakthroughs utilizing wireless sensor networks (WSNs). In most existing schemes, wireless rechargeable sensor networks (WRSNs) are generally equipped with one or more wireless charging vehicles (vehicles) to serve sensor nodes (SNs). These schemes solve the energy issue to some extent; however, due to off-road and speed limitations of vehicles, some SNs still cannot be charged in time, negatively affecting the lifetime of the networks. Our work proposes a new WRSN model equipped with one wireless charging drone (drone) with a constrained flight distance coupled with several wireless charging pads (pads) deployed to charge the drone when it cannot reach the subsequent stop. Our model solves this charging issues effectively and overcomes energy capacity limitations of the drone. Thus, a wireless charging pad deployment problem is formulated, which aims to apply the minimum number of pads so that at least one feasible routing path can be established for the drone to reach every SN in a given WRSN. Four feasible heuristics, three based on graph theory and one on geometry, are proposed for this problem. In addition, a novel drone scheduling algorithm, the shortest multi-hop path algorithm, is developed for the drone to serve charging requests with the assistance of pads. We examine the proposed schemes through extensive simulations. The results compare and demonstrate the effectiveness of the proposed schemes in terms of network density, region size and maximum flight distance.",4
3,"Extending the sensor life time is one of the most important issues in widespread use of Wireless Sensor Networks (WSNs). The Energy Harvesting (EH) sensors have been proposed to overcome the mentioned problem in recent years. These sensors can harvest their required energy from environment in different methods, resulting in longer life time. We consider a TDMA based Wireless Energy Harvesting Sensor Network (WEHSN) in which the time slot consists of two time intervals; the first one is utilized to absorb energy whereas the second one is used to transmit the sensors' data. We investigate the energy efficient resource allocation in WEHSN with constraints on time scheduling parameters and transmission power consumption, where an EH sensor is allowed to transmit its data if the amount of its harvested energy is more than the consumption power. We derive the closed form expression for the optimization problem, corresponding to the energy efficiency and convert it to a parametric form, using Dinkelbach method. Then, we solve the new problem using Karush-Kuhn-Tucker (KKT) conditions. The numerical results shows the effectiveness of the proposed method.",4
4,"Employing Wireless Mobile Chargers (WMCs) is a promising technique to improve the sensor network lifetime. In this paper, a Wireless Mobile Charger Excursion Optimization (WMCEO) Algorithm is introduced, which aims to optimize the moving trajectory and charging time of WMC in each sojourn location to achieve the enhanced energy efficiency and network lifetime. Unlike previous works, the whole network is divided into Charging Regions (CRs) to charge the several nodes simultaneously, which results in reducing the charging latency and improving the network performance. Moreover, in the proposed scheme, both the remaining energy of nodes located at each CR and the travel time of WMC issues are taken into account in WMC moving path optimization, which results in improving energy efficiency. Likewise, the remaining energy of the nodes located at the other CRs is considered in charging time optimization, which leads to enhance the network lifetime. Simulation results show that the proposed WMCEO scheme enhances network performance in terms of different network evaluation metrics.",4
5,"Owing to their short communication range, wireless nodes in wireless sensor networks (WSNs) can exchange information with devices in their vicinity only. Thus, in sparse networks, the full connectivity of the network is rarely achieved. This renders a centralised approach towards localisation in WSNs useless. Moreover, the exploitation of a centralised algorithm for localisation compromises the scalability in dense networks. Thus, a decentralised, location-aware network with partial connectivity and hybrid (range and direction) measurements obtained between known sensors (reference sensors) and sensors at unknown locations (target sensors) is under focus. The decentralised location estimation is obtained using a linear least squares (LLS) approach and performance enhancements are achieved by introducing a weighing strategy to produce weighted least squares (WLS) estimates. This distributed estimation is made possible by designing a map stitching technique that forms the global map of the network from individual local maps of the wireless nodes without compromising the distributed nature of the network. In the analytical section of the study, theoretical mean squares error expression is derived for LLS estimation, and a Cramer-Rao lower bound is derived to bind the performance of the WLS solution. The algorithm's performance validation is conducted both theoretically and via simulations.",4
6,"In heterogeneous wireless sensor networks (HWSN), sensor nodes may fail due to running out of battery power or sudden damage. This causes HWSN being partitioned to a number of separate networks. Relay node placement is to add new relay nodes to partitioned HWSN such that the network recovers to wireless communication. Energy efficient routing in HWSN is useful for prolonging network lifetime and energy conservation. This paper attempts to solve relay node placement and energy efficient routing problems for HWSN. Both problems have seldom been studied together in the literature. This paper first constructs a mathematical model for both problems. For relay node placement problem, it is assumed that HWSN contains unreachable area, where sensor nodes could not be placed. For energy efficient routing, it is transformed to path length of wireless communication. As the problem is non-deterministic polynomial (NP) hard, a heuristic method called whale optimizer is used. The paper studies the effect of whale optimizer method with three adaptive schemes. Numerical simulations are done to test the proposed method for HWSN. The analysis and discussion show that the proposed method is useful to address NP hard relay node placement and energy saving problems for HWSN.",4
7,"In the era of big data, sensor networks have been pervasively deployed, producing a large amount of data for various applications. However, because sensor networks are usually placed in hostile environments, managing the huge volume of data is a very challenging issue. In this study, we mainly focus on the data storage reliability problem in heterogeneous wireless sensor networks where robust storage nodes are deployed in sensor networks and data redundancy is utilized through coding techniques. To minimize data delivery and data storage costs, we design an algorithm to jointly optimize data routing and storage node deployment. The problem can be formulated as a binary nonlinear combinatorial optimization problem, and dueto its NP-hardness, designing approximation algorithms is highly nontrivial. By leveraging the Markov approximation framework, we elaborately design an efficient algorithm driven by a continuous-time Markov chain to schedule the deployment of the storage node and corresponding routing strategy. We also perform extensive simulations to verify the efficacy of our algorithm.",4
8,"As compared with 2D wireless camera sensor networks (WCSNs), 3D WCSNs can capture more accurate and comprehensive information for exposure-path prevention in supervisory and military applications. However, 3D WCSNs impose many new challenges for energy-efficiency and interference-mitigation subject to required coverage rate constraint due to extensive power consumption over time-varying wireless channels. To overcome the above-mentioned problems, in this paper we propose the AQ-DBPSK/DS-CDMA (alternating quadratures differential binary phase shift keying/direct-sequence code division multiple access) based cooperative MIMO energy-efficient and interference-mitigating scheme under the constraint of optimal tradeoff between power consumption and coverage rate over multi-hop clustered WCSNs. In particular, we build sensing models to characterize the minimum coverage rate constraint and formulate the exposure-path prevention problem using the percolation theory. Then, we derive the critical density of camera sensors subject to minimum exposure-path prevention probability constraint. We develop the AQ-DBPSK/DS-CDMA scheme and also derive the optimal data rate to optimize transmit-power and data-rate trade-off. By deriving the critical density of camera sensors over 3D WCSNs, we apply the cooperative MIMO based NEW LEACH architecture for our multi-hop cooperative MIMO scheme. Also conducted is a set of simulations which show that our proposed scheme can outperform other existing schemes in terms of energy efficiency and interference-mitigation over multi-hop 3D clustered WCSNs.",4
9,"In many applications of wireless sensor networks (such as military communications), secure communication, message delay minimization and energy efficiency are crucial. Such requirements constrain special or Important Cluster Head (ICH) placement over the network architecture modeled by a tree. The optimal important cluster head placement problem is formulated and solved using source coding results (providing minimum possible delay and security through prefix-free paths over the tree). Also, through simulations energy efficiency of the proposed approach is established. The reported research is naturally applicable for many applications of Wireless Sensor Networks (WSNs) such as Body Area Networks (BANs).",4
